gene,trait,p_acat,n_tissues,in_both
EMC6,DR,0.03646116801627908,2,True
EMC7,DN,6.309194078446133e-16,2,True
EMC7,DPN,0.16117922406848748,2,True
EMC7,DR,1.0,2,True
EMC8,DN,3.930502656725076e-10,2,True
EMC8,DPN,0.003624626881094774,2,True
EMC8,DR,1.4695895661165245e-15,2,True
EPN1,DN,1.1521219701177975e-121,2,True
EPN1,DPN,1.1163328927326584e-23,2,True
EPN1,DR,1.1626127502631665e-269,2,True
ERGIC1,DN,5.09822749605205e-12,2,True
ERGIC1,DPN,0.0006975437049294064,2,True
ERGIC1,DR,0.03411874044628662,2,True
ERGIC3,DN,1.8345465678952156e-11,2,True
ERGIC3,DPN,3.761775509424818e-08,2,True
ERGIC3,DR,0.029813407702922623,2,True
ERH,DN,0.0007447297598162178,2,True
ERH,DPN,0.002786011161936665,2,True
ERH,DR,0.0033564108656309703,2,True
ERI3,DN,0.06967430186456515,2,True
ERI3,DPN,0.34191593909787954,2,True
ERI3,DR,0.006048466691291705,2,True
ERLEC1,DN,1.7811456163503456e-55,1,False
ERLEC1,DPN,0.046328852014701556,1,False
ERLEC1,DR,4.866722331011113e-08,1,False
ERP29,DN,1.68777062987381e-10,2,True
ERP29,DPN,0.0011848448655964942,2,True
ERP29,DR,1.8712106355171478e-88,2,True
ETF1,DN,2.4839616450391836e-42,2,True
ETF1,DPN,7.09930914571308e-09,2,True
ETF1,DR,0.007544549989569596,2,True
FAM122A,DN,2.088228276277309e-08,2,True
FAM122A,DPN,1.0,2,True
FAM122A,DR,2.6434810764143273e-14,2,True
FAM160B1,DN,0.1387910178246038,2,True
FAM160B1,DPN,0.026580116300230272,2,True
FAM160B1,DR,1.0,2,True
FAM168A,DN,0.3872950060456697,1,False
FAM168A,DPN,0.6377366732839547,1,False
FAM168A,DR,0.025307782748129306,1,False
FAM192A,DN,3.076493374948258e-95,2,True
FAM192A,DPN,5.7954059958016356e-61,2,True
FAM192A,DR,7.791360252596178e-18,2,True
FAM20B,DN,1.0,2,True
FAM20B,DPN,0.4390089643758198,2,True
FAM20B,DR,0.10932532064566479,2,True
FBL,DN,1.0,2,True
FBL,DPN,0.46805755365431284,2,True
FBL,DR,0.01533029011089848,2,True
FBXL3,DN,2.97211341883893e-05,2,True
FBXL3,DPN,7.408356354961001e-06,2,True
FBXL3,DR,7.994673132007674e-08,2,True
