gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
PPARG,DN,30 T2DM Control,-2.1678,0.2355,1.0,1.0,0.03519447641106822,2,-2.106113707614564
PPARG,DPN,30 T2DM Control,-1.1876,-6.3268,1.0,1.0,2.5029742538675156e-10,2,-6.326800000133412
PPARG,DR,30 T2DM Control,-1.0519,-5.3308,1.0,1.0,9.77810357217288e-08,2,-5.3308000424821085
PROX1,DN,30 T2DM Control,-1.6477,,1.0,,0.09941424805398584,1,-1.6477
PROX1,DPN,30 T2DM Control,-1.8998,,1.0,,0.057459370945172096,1,-1.8998
PROX1,DR,30 T2DM Control,-1.738,,1.0,,0.08221081377542266,1,-1.738
PSMC1,DN,HK_v2,-1.5406,-1.0419,2.0,1.0,0.09676756854986872,2,-1.6607305815134197
PSMC1,DPN,HK_v2,0.9275,-1.2607,2.0,1.0,0.16095609807053227,2,1.4018632112242027
PSMC1,DR,HK_v2,1.3458,-1.7341,2.0,1.0,0.058859066966256,2,1.8892445559688023
PUF60,DN,44 Non-Candidate,0.8636,0.8636,1.0,1.0,0.2981121222613512,2,1.0404903991339527
PUF60,DPN,44 Non-Candidate,1.3391,1.3391,1.0,1.0,0.09814723264587703,2,1.6539029526115532
PUF60,DR,44 Non-Candidate,1.5585,1.5585,1.0,1.0,0.06171726219767253,2,1.8683215672532323
RABGGTB,DN,HK_v2,2.7582,1.5126,2.0,1.0,0.005577519044330641,2,2.771637034231679
RABGGTB,DPN,HK_v2,-4.1846,2.2976,2.0,1.0,2.8529167227637832e-05,2,-4.184899994437272
RABGGTB,DR,HK_v2,-0.5482,-2.7456,2.0,1.0,0.006070985230011808,2,-2.7439225886988083
RBX1,DN,HK_v2,5.7065,5.7065,1.0,1.0,5.766145342972848e-09,2,5.823402517511862
RBX1,DPN,HK_v2,-2.2592,-2.2592,1.0,1.0,0.011952278068753189,2,-2.5135501571703722
RBX1,DR,HK_v2,0.1935,0.1935,1.0,1.0,1.0,2,1.8669045833583425e-59
RNF181,DN,HK_v2,,0.6201,,1.0,0.5351919521868203,1,0.6200999999999997
RNF181,DPN,HK_v2,,-0.8807,,1.0,0.3784802167964272,1,-0.8807
RNF181,DR,HK_v2,,-0.5215,,1.0,0.6020185055777294,1,-0.5214999999999999
RNH1,DN,30 HOTAIR Candidate,7.0023,7.028,4.0,3.0,1.1435853966492391e-12,2,7.1120177618169755
RNH1,DPN,30 HOTAIR Candidate,8.5736,6.358,4.0,3.0,1.0029935651692018e-17,2,8.573600005648586
RNH1,DR,30 HOTAIR Candidate,13.8246,12.4974,4.0,3.0,1.8111641975133314e-43,2,13.824600001689749
RNPS1,DN,HK_v2,-0.3865,-0.6946,2.0,1.0,1.0,2,-1.8669045833583425e-59
RNPS1,DPN,HK_v2,-0.6757,-0.4686,2.0,1.0,1.0,2,-1.8669045833583425e-59
RNPS1,DR,HK_v2,-0.349,0.3728,2.0,1.0,1.0,2,-1.8669045833583425e-59
RPL10A,DN,44 Non-Candidate,-0.7365,-45.0479,5.0,2.0,9.999999999999999e-301,2,-37.065787880772135
RPL10A,DPN,44 Non-Candidate,-2.6557,-52.7198,5.0,2.0,9.999999999999999e-301,2,-37.065787880772135
RPL10A,DR,44 Non-Candidate,-5.4849,-107.3873,5.0,2.0,9.999999999999999e-301,2,-37.065787880772135
RPL13A,DN,30 HOTAIR Candidate,-1.9555,,1.0,,0.05052408336405547,1,-1.9554999999999998
