gene,ensg,trait,zscore,pvalue,n_snps_model,n_snps_matched,n_dropped,grp
RPL13,ENSG00000167526,DPN,-0.0348,0.9722464560562538,2059,1782,277,Excluded_NonTestbed
RPL13A,ENSG00000142541,DPN,3.2617,0.0011076357376963632,629,575,54,Candidate
RPL14,ENSG00000188846,DPN,-0.9808,0.32670453530698884,1441,1335,106,NonCandidate
RPL17,ENSG00000265681,DPN,-1.0496,0.2939109399734567,1352,1258,94,Excluded_NonTestbed
RPL27A,ENSG00000166441,DPN,0.5271,0.5981448477028992,901,859,42,NonCandidate
RPL5,ENSG00000122406,DPN,,,0,0,0,Candidate
RPL7A,ENSG00000148303,DPN,-0.2428,0.8081573225221644,1,1,0,Excluded_NonTestbed
RPL8,ENSG00000161016,DPN,-3.7373,0.00018600286657324483,1349,1235,114,Candidate
RPLP0,ENSG00000089157,DPN,3.1357,0.001714411920879978,133,126,7,Candidate
RPN1,ENSG00000163902,DPN,-0.6557,0.5119993715372799,929,865,64,NonCandidate
RPS13,ENSG00000110700,DPN,2.4198,0.015527314064750296,145,136,9,Candidate
RPS14,ENSG00000164587,DPN,1.2397,0.21509493046683467,208,197,11,Candidate
RPS16,ENSG00000105193,DPN,2.797,0.005157831782277532,406,386,20,Candidate
RPS18,ENSG00000231500,DPN,11.7829,4.784529140612698e-32,992,379,613,Candidate
RPS25,ENSG00000118181,DPN,1.9161,0.055355816867939465,182,174,8,Candidate
RPS3,ENSG00000149273,DPN,-8.0856,6.184327064511907e-16,26,25,1,Candidate
RPS3A,ENSG00000145425,DPN,4.3582,1.3110731506250176e-05,793,750,43,NonCandidate
RPS8,ENSG00000142937,DPN,0.8548,0.39264925759941205,1541,1424,117,NonCandidate
RPSA,ENSG00000168028,DPN,1.3001,0.1935599439058287,505,475,30,Candidate
RRBP1,ENSG00000125844,DPN,-2.3415,0.019208630514437823,576,562,14,NonCandidate
SDF4,ENSG00000078808,DPN,14.3472,1.1088710213144367e-46,575,502,73,HK_v2
SDHAF2,ENSG00000167985,DPN,-5.3089,1.1025889966768116e-07,17,17,0,HK_v2
SEC13,ENSG00000157020,DPN,-4.3297,1.492812949886352e-05,1420,1317,103,HK_v2
SERPINB9,ENSG00000170542,DPN,,,909,0,909,NonCandidate
SERPINH1,ENSG00000149257,DPN,2.8055,0.005023206651581185,461,447,14,Excluded_NonTestbed
SF3B4,ENSG00000143368,DPN,,,0,0,0,HK_v2
SLC16A11,ENSG00000174326,DPN,-1.4614,0.14390137928108923,59,53,6,T2DM_Control
SPRYD3,ENSG00000167778,DPN,-0.5364,0.5916993618914528,392,372,20,HK_v2
SRM,ENSG00000116649,DPN,16.3441,4.795287059714424e-60,39,39,0,HK_v2
ST6GAL1,ENSG00000073849,DPN,0.3598,0.7189656057406109,669,612,57,T2DM_Control
STX4,ENSG00000103496,DPN,0.101,0.9195371315849895,1112,1025,87,HK_v2
TCF7L2,ENSG00000148737,DPN,1.1512,0.24964814482219955,285,266,19,T2DM_Control
TOMM20,ENSG00000173726,DPN,-0.5179,0.6045247154736586,252,238,14,HK_v2
TPM4,ENSG00000167460,DPN,0.8229,0.4105783950807474,125,123,2,Excluded_NonTestbed
TRIP12,ENSG00000153827,DPN,-0.1605,0.8724939679169563,538,506,32,HK_v2
TUBB,ENSG00000196230,DPN,28.2254,2.8523028229119834e-175,1848,359,1489,Candidate
TUT1,ENSG00000149016,DPN,0.6132,0.5397518842044895,106,99,7,HK_v2
U2AF2,ENSG00000063244,DPN,-5.0129,5.361003799626905e-07,98,95,3,HK_v2
UBA52,ENSG00000221983,DPN,-0.9328,0.35089855793735886,674,619,55,NonCandidate
VAT1,ENSG00000108828,DPN,-2.0989,0.03582773441319909,1141,1047,94,Excluded_NonTestbed
